shipment_id,order_id,origin,destination,distance_km,shipment_date,delivery_date,delivery_status,transport_cost,vehicle_type
1,1102,Mumbai,Pune,218,2024-01-14,2024-01-17,On-Time,1113.568162324728,Bike
2,1435,Mumbai,Pune,266,2024-01-18,2024-01-25,Delayed,3528.625857349295,Truck
3,1860,Bangalore,Pune,427,2024-01-19,2024-01-28,Delayed,5555.1875907223675,Bike
4,1270,Mumbai,Chennai,168,2024-01-22,2024-01-26,On-Time,1015.4835904082543,Bike
5,1106,Delhi,Hyderabad,239,2024-01-09,2024-01-12,On-Time,2573.6891409071536,Van
6,1071,Mumbai,Hyderabad,816,2024-01-25,2024-01-30,On-Time,7866.090657041801,Van
7,1700,Delhi,Chennai,419,2024-01-07,2024-01-08,On-Time,2592.3911101831773,Truck
8,1020,Bangalore,Hyderabad,1851,2024-01-28,2024-01-31,On-Time,27405.317882893993,Van
9,1614,Mumbai,Pune,198,2024-01-03,2024-01-11,Delayed,1415.0978571774438,Bike
10,1121,Bangalore,Hyderabad,1749,2024-01-20,2024-01-28,Delayed,9920.925809783914,Van
11,1466,Mumbai,Pune,701,2024-01-06,2024-01-10,On-Time,7674.8801303083865,Truck
12,1214,Delhi,Chennai,1932,2024-01-27,2024-01-29,On-Time,23934.90420221019,Bike
13,1330,Bangalore,Pune,1561,2024-01-21,2024-01-29,Delayed,8311.442192796589,Truck
14,1458,Mumbai,Hyderabad,819,2024-01-02,2024-01-10,Delayed,9489.897461174312,Van
15,1087,Delhi,Hyderabad,423,2024-01-29,2024-02-02,On-Time,4366.594635274651,Van
16,1372,Bangalore,Hyderabad,830,2024-01-06,2024-01-09,On-Time,5007.099573662902,Truck
17,1099,Bangalore,Chennai,1766,2024-01-03,2024-01-05,On-Time,11876.771666872755,Bike
18,1871,Mumbai,Chennai,209,2024-01-16,2024-01-25,Delayed,2232.0662813906083,Van
19,1663,Mumbai,Hyderabad,400,2024-01-30,2024-01-31,On-Time,3185.430454053154,Van
20,1130,Mumbai,Pune,1985,2024-01-08,2024-01-15,Delayed,28550.567213728624,Bike
21,1661,Delhi,Chennai,1361,2024-01-02,2024-01-07,On-Time,17948.054523277933,Van
22,1308,Mumbai,Hyderabad,1361,2024-01-17,2024-01-25,Delayed,20191.349680650954,Truck
23,1769,Bangalore,Hyderabad,941,2024-01-09,2024-01-13,On-Time,7148.502594523396,Van
24,1343,Bangalore,Chennai,1299,2024-01-30,2024-02-06,Delayed,19091.70999004572,Van
25,1491,Mumbai,Chennai,572,2024-01-12,2024-01-17,On-Time,5326.657735207711,Bike
26,1413,Mumbai,Chennai,571,2024-01-03,2024-01-08,On-Time,4839.332321241539,Truck
27,1805,Bangalore,Pune,832,2024-01-11,2024-01-20,Delayed,4578.908064385019,Bike
28,1385,Delhi,Pune,322,2024-01-01,2024-01-10,Delayed,1779.9041303079205,Van
29,1191,Mumbai,Hyderabad,985,2024-01-23,2024-02-01,Delayed,11741.31087107455,Van
30,1955,Mumbai,Chennai,1475,2024-01-13,2024-01-19,Delayed,14129.45266790191,Bike
31,1276,Bangalore,Pune,232,2024-01-15,2024-01-21,Delayed,1685.5301724037652,Bike
32,1160,Mumbai,Chennai,1738,2024-01-26,2024-01-31,On-Time,19360.803923932544,Bike
33,1459,Delhi,Hyderabad,537,2024-01-05,2024-01-14,Delayed,4042.848095003097,Truck
34,1313,Bangalore,Pune,1900,2024-01-21,2024-01-29,Delayed,20475.003332544027,Van
35,1021,Mumbai,Pune,895,2024-01-30,2024-02-06,Delayed,7689.918285495079,Bike
36,1252,Bangalore,Pune,173,2024-01-17,2024-01-24,Delayed,2289.745352038447,Van
37,1747,Mumbai,Hyderabad,1034,2024-01-25,2024-01-31,Delayed,13655.998302328499,Truck
38,1856,Mumbai,Chennai,1699,2024-01-23,2024-01-28,On-Time,16605.1832640996,Truck
39,1560,Mumbai,Pune,839,2024-01-24,2024-01-28,On-Time,7138.372327320781,Truck
40,1474,Delhi,Hyderabad,463,2024-01-25,2024-01-28,On-Time,3993.6518580686075,Truck
41,1058,Delhi,Chennai,1798,2024-01-06,2024-01-09,On-Time,23476.74717151456,Van
42,1510,Bangalore,Hyderabad,1245,2024-01-28,2024-02-03,Delayed,10310.834560830272,Truck
43,1681,Mumbai,Chennai,1361,2024-01-21,2024-01-25,On-Time,9650.298076150173,Truck
44,1475,Mumbai,Hyderabad,1508,2024-01-22,2024-01-28,Delayed,8817.100195479627,Bike
45,1699,Delhi,Chennai,735,2024-01-11,2024-01-14,On-Time,7105.194438500401,Truck
46,1975,Mumbai,Pune,162,2024-01-18,2024-01-22,On-Time,1591.0540002501439,Bike
47,1782,Delhi,Chennai,937,2024-01-04,2024-01-13,Delayed,12564.31461647524,Truck
48,1189,Mumbai,Hyderabad,1990,2024-01-03,2024-01-08,On-Time,14352.650059276673,Truck
49,1957,Bangalore,Hyderabad,171,2024-01-13,2024-01-20,Delayed,1506.4950779729636,Bike
50,1686,Mumbai,Chennai,1617,2024-01-23,2024-01-25,On-Time,21156.92079791098,Truck
51,1957,Mumbai,Pune,1295,2024-01-09,2024-01-14,On-Time,17140.925759199206,Van
52,1562,Delhi,Pune,1704,2024-01-21,2024-01-30,Delayed,15073.772734678209,Van
53,1875,Mumbai,Chennai,88,2024-01-06,2024-01-09,On-Time,844.0291404922792,Truck
54,1566,Mumbai,Chennai,546,2024-01-26,2024-02-04,Delayed,4385.940964037085,Van
55,1243,Delhi,Hyderabad,829,2024-01-30,2024-02-05,Delayed,11875.879942096097,Bike
56,1831,Bangalore,Pune,1306,2024-01-28,2024-02-01,On-Time,8079.487580585039,Truck
57,1504,Bangalore,Chennai,992,2024-01-12,2024-01-19,Delayed,14222.794276174582,Truck
58,1130,Delhi,Pune,1603,2024-01-02,2024-01-10,Delayed,18977.379222920554,Bike
59,1484,Delhi,Chennai,198,2024-01-03,2024-01-09,Delayed,2042.512862319728,Bike
60,1818,Delhi,Chennai,1470,2024-01-03,2024-01-08,On-Time,7830.0881935320895,Bike
61,1646,Delhi,Pune,1071,2024-01-28,2024-02-03,Delayed,10448.63521441371,Truck
62,1020,Delhi,Chennai,710,2024-01-12,2024-01-17,On-Time,6445.0115455194,Bike
63,1840,Bangalore,Chennai,1711,2024-01-15,2024-01-23,Delayed,11313.453872894346,Bike
64,1166,Bangalore,Hyderabad,1977,2024-01-09,2024-01-10,On-Time,22862.217861207988,Van
